starting
Enc:FUEL
-0.22,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
STOPPED. PRESS BOTH BUTTONS TO CONFIRM HOME POSITION
Switch
0.00,111111111111111111111111
0.00,111111111111111111111111
STOPPED. PRESS BOTH BUTTONS TO CONFIRM HOME POSITION
Set SEL_SWITCH to ON and press both buttons to arm valves
idle
idle
10101010
111100010100001
activated
pTerm: 0 FUEL: ;  dT: 0;  Pos:9.61;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:9.76;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:9.91;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:10.05;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:10.19;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:10.33;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:10.47;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:10.61;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:10.73;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:10.87;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:10.98;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:11.10;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:11.22;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:11.33;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:11.44;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:11.55;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:11.65;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:11.74;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:11.84;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:11.93;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:12.02;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:12.10;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:12.18;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:12.26;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:12.34;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:12.41;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:12.48;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:12.55;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:12.62;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:12.68;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:12.73;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:12.79;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:12.84;  Target: 3.50
