i," ""f"""," ""dt"""," ""pos""",abs(dt)
69390,69390,0,110000111100001000000000.00,0
69390,69390,0,110000111100001000000000.00,0
69390,69390,0,110000111100001000000000.00,0
69390,69390,0,110000111100001000000000.00,0
69390,69390,0,110000111100001000000000.00,0
69390,66305,-3085,101111111011111000000000.00,3085
66305,26215,-40090,100110001001100000000000.00,40090
26215,1542,-24673,100000011000000000000000.00,24673
1542,99200,33413,111000001110000000000000.00,33413
99200,98173,-1027,110111111101111000000000.00,1027
98173,98172,-1,110111111101111000000000.00,1
98172,97144,-1028,110111101101111000000000.00,1028
97144,97144,0,110111101101111000000000.00,0
97144,79670,-17474,110011001100110000000000.00,17474
79670,45747,-33923,101011001010110000000000.00,33923
45747,32382,-13365,100111111001111000000000.00,13365
32382,32383,1,100111111001111000000000.00,1
32383,32381,-2,100111111001111000000000.00,2
32381,15932,-16449,100011101000111000000000.00,16449
15932,114620,32383,111011111110111000000000.00,32383
114620,99203,-15417,111000001110000000000000.00,15417
99203,98175,-1028,110111111101111000000000.00,1028
98175,98175,0,110111111101111000000000.00,0
98175,98175,0,110111111101111000000000.00,0
98175,98175,0,110111111101111000000000.00,0
98175,98175,0,110111111101111000000000.00,0
98175,98175,0,110111111101111000000000.00,0
98175,98175,0,110111111101111000000000.00,0
98175,98175,0,110111111101111000000000.00,0
98175,98175,0,110111111101111000000000.00,0
98175,98175,0,110111111101111000000000.00,0
