starting
Enc:FUEL
0,17989,17989.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17991,2.00,100100011001000111000001
17991,20047,2056.00,100100111001001111000001
20047,38549,18502.00,101001011010010100000001
38549,45744,7195.00,101011011010110100000001
45744,63223,17479.00,101111011011110111000001
63223,68362,5139.00,110000111100001110000001
68362,85837,17475.00,110100111101001110000001
85837,85837,0.00,110100111101001111000001
85837,84810,-1027.00,110100101101001010000001
84810,86865,2055.00,110101011101010111000001
86865,5653,212283.00,100001011000010100000001
5653,13876,8223.00,100011011000110101000001
13876,19018,5142.00,100100101001001011000001
19018,19017,-1.00,100100101001001001000001
19017,19018,1.00,100100101001001001000001
19018,34439,15421.00,101000101010001011000001
34439,76586,42147.00,110010101100101001000001
76586,85837,9251.00,110100111101001111000001
85837,84809,-1028.00,110100101101001001000001
84809,84808,-1.00,110100101101001000000001
84808,84810,2.00,110100101101001001000001
84810,107427,22617.00,111010011110100100000001
107427,14907,223591.00,100011111000111100000001
14907,32380,17473.00,100111111001111100000001
32380,32381,1.00,100111111001111101000001
32381,32382,1.00,100111111001111110000001
32382,39576,7194.00,101001111010011101000001
39576,68361,28785.00,110000111100001110000001
68361,109483,41122.00,111010101110101010000001
109483,108454,-1029.00,111010011110100110000001
108454,108454,0.00,111010011110100110000001
108454,109482,1028.00,111010101110101010000001
109482,1543,239010.00,100000101000001010000001
1543,40605,39062.00,101001111010011101000001
40605,43688,3083.00,101010101010101000000001
43688,43688,0.00,101010101010101000000001
43688,44718,1030.00,101010111010101101000001
44718,74530,29812.00,110010001100100001000001
74530,111538,37008.00,111011001110110001000001
111538,119760,8222.00,111101001111010000000001
119760,119762,2.00,111101001111010010000001
119762,119763,1.00,111101001111010011000001
119763,16963,233871.00,100100101001001001000001
16963,34436,17473.00,101000011010000100000001
34436,33411,-1025.00,101000001010000011000001
33411,33409,-2.00,101000001010000001000001
33409,33410,1.00,101000001010000011000001
33410,42661,9251.00,101010101010101010000001
