i, f, dt, pos
0,105369,25702.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105369,0.00,111001101110011001000001
105369,105368,-1.00,111001101110011000000001
105368,108452,3084.00,111010011110100111000001
108452,11823,34442.00,100010111000101101000001
11823,31352,19529.00,100111101001111000000001
31352,42663,11311.00,101010011010100111000001
42663,40605,-2058.00,101001111010011101000001
40605,40605,0.00,101001111010011101000001
40605,41634,1029.00,101010001010100000000001
41634,69389,27755.00,110000111100001100000001
69389,104343,34954.00,111001011110010110000001
104343,109481,5138.00,111010101110101001000001
109481,108455,-1026.00,111010011110100111000001
108455,108455,0.00,111010011110100111000001
108455,109482,1027.00,111010101110101001000001
109482,4627,26216.00,100001001000010000000001
4627,45744,41117.00,101011001010110001000001
45744,85838,40094.00,110100111101001100000001
85838,84811,-1027.00,110100101101001011000001
84811,84811,0.00,110100101101001011000001
84811,84811,0.00,110100101101001011000001
84811,88921,4110.00,110101101101011001000001
88921,3597,45747.00,100000111000001111000001
3597,22100,18503.00,100101011001010100000001
22100,21073,-1027.00,100101001001010001000001
21073,21073,0.00,100101001001010001000001
21073,21073,0.00,100101001001010001000001
21073,21075,2.00,100101001001010010000001
21075,22100,1025.00,100101011001010111000001
22100,31353,9253.00,100111101001111001000001
31353,31353,0.00,100111101001111001000001
31353,31353,0.00,100111101001111001000001
31353,31355,2.00,100111101001111011000001
31355,32382,1027.00,100111111001111100000001
32382,33408,1026.00,101000001010000011000001
33408,37523,4115.00,101001001010010001000001
37523,67335,29812.00,110000011100000101000001
67335,94062,26727.00,110110111101101100000001
94062,123872,29810.00,111110001111100001000001
123872,14907,22106.00,100011101000111010000001
14907,14906,-1.00,100011101000111010000001
14906,14906,0.00,100011101000111010000001
14906,14904,-2.00,100011101000111000000001
14904,23130,8226.00,100101101001011010000001
23130,77614,54484.00,110010111100101100000001
77614,86865,9251.00,110101001101010001000001
86865,86864,-1.00,110101001101010000000001
86864,86864,0.00,110101001101010000000001
86864,87893,1029.00,110101011101010101000001
87893,121819,33926.00,111101111111011111000001
121819,17989,27241.00,100100011001000100000001
17989,17989,0.00,100100011001000101000001
17989,17989,0.00,100100011001000101000001
17989,17991,2.00,100100011001000111000001
17991,17989,-2.00,100100011001000110000001
17989,51912,33923.00,101100111011001111000001
51912,84808,32896.00,110100101101001001000001
84808,83780,-1028.00,110100011101000100000001
83780,83780,0.00,110100011101000100000001
83780,83780,0.00,110100011101000100000001
83780,98174,14394.00,110111111101111110000001
98174,11821,44718.00,100010111000101111000001
11821,16962,5141.00,100100001001000010000001
16962,16961,-1.00,100100001001000001000001
16961,16961,0.00,100100001001000001000001
16961,19016,2055.00,100100101001001000000001
19016,47802,28786.00,101011101010111010000001
47802,76585,28783.00,110010101100101010000001
76585,76584,-1.00,110010101100101000000001
76584,76584,0.00,110010101100101000000001
76584,87893,11309.00,110101011101010101000001
87893,6680,49858.00,100001111000011110000001
6680,12849,6169.00,100011001000110001000001
12849,12849,0.00,100011001000110001000001
12849,12849,0.00,100011001000110001000001
12849,11823,-1026.00,100010111000101100000001
11823,11820,-3.00,100010111000101100000001
11820,16961,5141.00,100100001001000000000001
16961,59111,42150.00,101110101011101000000001
59111,79668,20557.00,110011011100110100000001
79668,79669,1.00,110011011100110101000001
79669,77613,-2056.00,110010111100101100000001
77613,54999,-22614.00,101101011011010100000001
54999,126959,59111.00,111110111111101111000001
126959,125928,-1031.00,111110101111101011000001
125928,126956,1028.00,111110111111101100000001
126956,126956,0.00,111110111111101100000001
126956,126959,3.00,111110111111101111000001
126959,126957,-2.00,111110111111101101000001
126957,125928,-1029.00,111110101111101011000001
125928,125928,0.00,111110101111101000000001
125928,127984,2056.00,111111001111110000000001
127984,127985,1.00,111111001111110011000001
127985,127987,2.00,111111001111110001000001
127987,127986,-1.00,111111001111110000000001
127986,126956,-1030.00,111110111111101100000001
126956,123873,-3083.00,111110001111100011000001
123873,86865,-37008.00,110101001101010001000001
86865,51914,-34951.00,101100101011001001000001
51914,45745,-6169.00,101011001010110001000001
45745,45745,0.00,101011001010110010000001
45745,45747,2.00,101011001010110011000001
45747,43688,-2059.00,101010101010101011000001
43688,13876,-29812.00,100011011000110101000001
13876,97145,47802.00,110111011101110100000001
97145,87893,-9252.00,110101011101010101000001
87893,87893,0.00,110101011101010101000001
87893,87895,2.00,110101011101010100000001
87895,59111,-28784.00,101110011011100101000001
59111,19019,-40092.00,100100011001000100000001
19019,17988,-1031.00,100100011001000111000001
17988,17990,2.00,100100011001000110000001
17990,16960,-1030.00,100100001001000001000001
16960,109482,38549.00,111010011110100111000001
109482,76584,-32898.00,110010101100101010000001
76584,76586,2.00,110010101100101010000001
76586,76586,0.00,110010101100101010000001
76586,75558,-1028.00,110010011100100101000001
75558,46774,-28784.00,101011011010110111000001
46774,6680,-40094.00,100001101000011010000001
6680,4624,-2056.00,100001001000010000000001
4624,4624,0.00,100001001000010000000001
4624,4624,0.00,100001001000010001000001
4624,106396,29299.00,111001101110011011000001
106396,66304,-40092.00,110000001100000001000001
66304,64250,-2054.00,101111101011111010000001
64250,64250,0.00,101111101011111010000001
64250,63220,-1030.00,101111011011110111000001
63220,33408,-29812.00,100111111001111110000001
33408,116677,47802.00,111100011111000100000001
116677,116678,1.00,111100011111000110000001
116678,116678,0.00,111100011111000110000001
116678,116679,1.00,111100011111000111000001
116679,76585,-40094.00,110010101100101001000001
76585,50884,-25701.00,101100011011000100000001
50884,51913,1029.00,101100101011001001000001
51913,51913,0.00,101100101011001001000001
51913,50886,-1027.00,101100011011000101000001
50886,6683,-44203.00,100001101000011011000001
6683,106399,31355.00,111001111110011111000001
106399,106396,-3.00,111001111110011100000001
106396,106399,3.00,111001111110011111000001
106399,104342,-2057.00,111001011110010101000001
104342,66306,-38036.00,101111111011111110000001
66306,54997,-11309.00,101101011011010101000001
54997,54999,2.00,101101011011010111000001
54999,54999,0.00,101101011011010111000001
54999,45746,-9253.00,101011001010110000000001
45746,112564,64253.00,111011011110110111000001
112564,112565,1.00,111011011110110101000001
112565,112565,0.00,111011011110110101000001
112565,112565,0.00,111011011110110101000001
112565,110511,-2054.00,111010111110101101000001
110511,52941,-57570.00,101100111011001100000001
52941,32380,-20561.00,100111111001111110000001
32380,32381,1.00,100111111001111101000001
32381,32382,1.00,100111111001111110000001
32382,32381,-1.00,100111111001111100000001
32381,4627,-27754.00,100001001000010011000001
4627,89949,45749.00,110110001101100011000001
89949,90979,1030.00,110110001101100001000001
90979,90976,-3.00,110110001101100000000001
90976,90978,2.00,110110001101100000000001
90978,60137,-30841.00,101110101011101010000001
60137,25187,-34950.00,100110001001100011000001
25187,25184,-3.00,100110001001100000000001
25184,25184,0.00,100110001001100000000001
25184,25184,0.00,100110001001100000000001
25184,25184,0.00,100110001001100000000001
25184,25184,0.00,100110001001100000000001
25184,25184,0.00,100110001001100000000001
25184,25184,0.00,100110001001100000000001
25184,25184,0.00,100110001001100000000001
25184,25184,0.00,100110001001100000000001
25184,25184,0.00,100110001001100000000001
25184,25184,0.00,100110001001100000000001
25184,25184,0.00,100110001001100000000001
25184,25184,0.00,100110001001100000000001
