i, f, dt, pos
0,51912,51912.00,101100101011001000000001
51912,51912,0.00,101100101011001000000001
51912,51912,0.00,101100101011001000000001
51912,51912,0.00,101100101011001000000001
51912,51912,0.00,101100101011001000000001
51912,51912,0.00,101100101011001000000001
51912,51912,0.00,101100101011001000000001
51912,51912,0.00,101100101011001000000001
51912,51912,0.00,101100101011001000000001
51912,51912,0.00,101100101011001000000001
51912,51912,0.00,101100101011001000000001
51912,51912,0.00,101100101011001000000001
51912,51912,0.00,101100101011001000000001
51912,51912,0.00,101100101011001000000001
51912,51912,0.00,101100101011001000000001
51912,51912,0.00,101100101011001000000001
51912,51912,0.00,101100101011001000000001
51912,51912,0.00,101100101011001000000001
51912,54998,3086.00,101101011011010100000001
54998,64249,9251.00,101111111011111100000001
64249,98174,33925.00,110111111101111110000001
98174,110510,12336.00,111010111110101110000001
110510,109482,-1028.00,111010101110101010000001
109482,109481,-1.00,111010101110101001000001
109481,109482,1.00,111010101110101010000001
109482,109480,-2.00,111010101110101000000001
109480,109480,0.00,111010101110101011000001
109480,111537,2057.00,111011001110110001000001
111537,124901,13364.00,111110011111100101000001
124901,37522,43692.00,101001011010010101000001
37522,42660,5138.00,101010101010101000000001
42660,43691,1031.00,101010101010101011000001
43691,43688,-3.00,101010101010101001000001
43688,43688,0.00,101010101010101010000001
43688,64248,20560.00,110000001100000000000001
64248,104341,40093.00,111001011110010100000001
104341,106399,2058.00,111001111110011100000001
106399,106396,-3.00,111001111110011100000001
106396,107424,1028.00,111010001110100010000001
107424,8736,32383.00,100010101000101010000001
8736,64251,55515.00,101111101011111010000001
64251,63221,-1030.00,101111011011110101000001
63221,63222,1.00,101111011011110110000001
63222,69389,6167.00,110001001100010011000001
69389,3596,65278.00,100001001000010011000001
3596,12850,9254.00,100011001000110010000001
12850,12851,1.00,100011001000110011000001
12851,20047,7196.00,100101001001010001000001
20047,83782,63735.00,110100101101001010000001
83782,98172,14390.00,110111111101111100000001
98172,98173,1.00,110111111101111111000001
98173,106396,8223.00,111001111110011111000001
106396,29299,53974.00,100111011001110111000001
29299,52940,23641.00,101100111011001110000001
52940,52943,3.00,101100111011001111000001
52943,64251,11308.00,101111111011111101000001
64251,115648,51397.00,111100011111000111000001
115648,125930,10282.00,111110101111101001000001
125930,125930,0.00,111110101111101000000001
125930,514,5655.00,100000011000000111000001
514,29298,28784.00,100111101001111011000001
29298,61167,31869.00,101110111011101101000001
61167,62195,1028.00,101111001011110010000001
62195,62194,-1.00,101111001011110010000001
62194,62193,-1.00,101111001011110000000001
62193,64249,2056.00,101111101011111011000001
64249,106398,42149.00,111010011110100111000001
106398,116677,10279.00,111100011111000101000001
116677,116676,-1.00,111100011111000100000001
116676,116676,0.00,111100011111000100000001
116676,116677,1.00,111100011111000110000001
116677,107427,-9250.00,111010001110100011000001
107427,67335,-40092.00,110000001100000010000001
67335,39577,-27758.00,101001011010010110000001
