i,f,dt,pos,abs(dt)
110508,14906,35469,1.00011E+23,35469
14906,60139,45233,1.0111E+23,45233
60139,62192,2053,1.01111E+23,2053
62192,62195,3,1.01111E+23,3
62195,62193,-2,1.01111E+23,2
62193,67332,5139,1.1E+23,5139
67332,85836,18504,1.101E+23,18504
85836,108453,22617,1.1101E+23,22617
108453,107427,-1026,1.1101E+23,1026
107427,107424,-3,1.1101E+23,3
107424,111538,4114,1.11011E+23,4114
111538,21075,40608,1.00101E+23,40608
21075,44718,23643,1.0101E+23,23643
44718,43690,-1028,1.0101E+23,1028
43690,43688,-2,1.0101E+23,2
43688,59110,15422,1.0111E+23,15422
59110,95091,35981,1.10111E+23,35981
95091,109480,14389,1.1101E+23,14389
109480,109481,1,1.1101E+23,1
109481,109483,2,1.1101E+23,2
109483,3598,25186,1.00001E+23,25186
3598,42661,39063,1.0101E+23,39063
42661,48830,6169,1.01011E+23,6169
48830,48830,0,1.01011E+23,0
48830,50887,2057,1.011E+23,2057
50887,93033,42146,1.1011E+23,42146
93033,120788,27755,1.11101E+23,27755
120788,120788,0,1.11101E+23,0
120788,120788,0,1.11101E+23,0
120788,120788,0,1.11101E+23,0
120788,120788,0,1.11101E+23,0
120788,120788,0,1.11101E+23,0
120788,120788,0,1.11101E+23,0
120788,120788,0,1.11101E+23,0
120788,120788,0,1.11101E+23,0
120788,120788,0,1.11101E+23,0
120788,120788,0,1.11101E+23,0
120788,120788,0,1.11101E+23,0
120788,120788,0,1.11101E+23,0
120788,120788,0,1.11101E+23,0
120788,120788,0,1.11101E+23,0
120788,120788,0,1.11101E+23,0
120788,120788,0,1.11101E+23,0
120788,120788,0,1.11101E+23,0
120788,120788,0,1.11101E+23,0
120788,120788,0,1.11101E+23,0
120788,120788,0,1.11101E+23,0
120788,120788,0,1.11101E+23,0
120788,120788,0,1.11101E+23,0
120788,120788,0,1.11101E+23,0
120788,120788,0,1.11101E+23,0
120788,120788,0,1.11101E+23,0
120788,120788,0,1.11101E+23,0
