i, f, dt, pos
39576,40607,1031.00,101001111010011100000001
40607,77612,37005.00,110011001100110000000001
77612,108453,30841.00,111010011110100111000001
108453,107427,-1026.00,111010001110100011000001
107427,107427,0.00,111010001110100011000001
107427,110508,3081.00,111010111110101101000001
110508,14906,35469.00,100011111000111110000001
14906,60139,45233.00,101110101011101010000001
60139,62192,2053.00,101111001011110000000001
62192,62195,3.00,101111001011110001000001
62195,62193,-2.00,101111001011110010000001
62193,67332,5139.00,110000101100001001000001
67332,85836,18504.00,110100111101001110000001
85836,108453,22617.00,111010011110100110000001
108453,107427,-1026.00,111010001110100011000001
107427,107424,-3.00,111010001110100000000001
107424,111538,4114.00,111011011110110110000001
111538,21075,40608.00,100101011001010111000001
21075,44718,23643.00,101010111010101101000001
44718,43690,-1028.00,101010101010101010000001
43690,43688,-2.00,101010101010101000000001
43688,59110,15422.00,101110011011100100000001
59110,95091,35981.00,110111011101110111000001
95091,109480,14389.00,111010101110101000000001
109480,109481,1.00,111010101110101001000001
109481,109483,2.00,111010101110101011000001
109483,3598,25186.00,100001001000010011000001
3598,42661,39063.00,101010101010101001000001
42661,48830,6169.00,101011111010111110000001
48830,48830,0.00,101011111010111110000001
48830,50887,2057.00,101100101011001000000001
50887,93033,42146.00,110110111101101110000001
93033,120788,27755.00,111101011111010101000001
120788,120788,0.00,111101011111010100000001
120788,120788,0.00,111101011111010100000001
120788,120788,0.00,111101011111010100000001
120788,120788,0.00,111101011111010100000001
120788,120788,0.00,111101011111010100000001
120788,120788,0.00,111101011111010100000001
120788,120788,0.00,111101011111010100000001
120788,120788,0.00,111101011111010100000001
120788,120788,0.00,111101011111010100000001
120788,120788,0.00,111101011111010100000001
120788,120788,0.00,111101011111010100000001
120788,120788,0.00,111101011111010100000001
120788,120788,0.00,111101011111010100000001
120788,120788,0.00,111101011111010100000001
120788,120788,0.00,111101011111010100000001
120788,120788,0.00,111101011111010100000001
120788,120788,0.00,111101011111010100000001
120788,120788,0.00,111101011111010100000001
120788,120788,0.00,111101011111010100000001
120788,120788,0.00,111101011111010100000001
120788,120788,0.00,111101011111010100000001
120788,120788,0.00,111101011111010100000001
120788,120788,0.00,111101011111010100000001
120788,120788,0.00,111101011111010100000001
120788,120788,0.00,111101011111010100000001
120788,120788,0.00,111101011111010100000001
